Wells,row,col,Strain,Parent,Isolate Name,Location,Environment,problems
g8,G,8,YJM1355,YJM1344,NRRL Y-234,"IL, USA",Molasses,
h8,H,8,YJM1356,YJM1349,NRRL Y-747,ND,Cider,aneuploid
a9,A,9,YJM1381,YJM1357,NRRL YB-427,Trinidad,Rum fermentation,
b9,B,9,YJM1383,YJM1359,NRRL Y-5511,Philippines,Coconut,
c9,C,9,YJM1385,YJM1363,NRRL Y-11857,"MD, USA",Sugar refinery,
d9,D,9,YJM1386,YJM1365,NRRL Y-11878,Jamaica,Sugar cane,
e9,E,9,YJM1387,YJM1366,NRRL Y-12758,Japan,Wine,Aneuploid and low spore viability
f9,F,9,YJM1388,YJM1367,NRRL Y-12769,Malaya,Fermented tapioca,
g9,G,9,YJM1389,YJM1368,NRRL Y-17447,Thailand,Sewage,
h9,H,9,YJM1399,YJM1393,NRRL YB-908,ND,Wild cherry tree gum,
a10,A,10,YJM1400,YJM1394,NRRL YB-4081,Philippines,Guava,
b10,B,10,YJM1401,YJM1395,NRRL YB-4082,Philippines,Papaya,
c10,C,10,YJM1402,YJM1396,NRRL YB-4449,ND,Grape vine,
d10,D,10,YJM1415,YJM1407,NRRL Y-268,France,Wine,
e10,E,10,YJM1417,YJM1411,NRRL YB-2541,"HI, USA",ND,
f10,F,10,YJM1418,YJM1413,NRRL YB-4506,Japan,Oak tree,
g10,G,10,YJM1419,YJM1412,NRRL YB-2625,ND,Bagasse,
h10,H,10,YJM1433,Yllc17_E5,,France,Wine,low spore viability
a11,A,11,YJM1434,YPS606 (=YJM1280),P. Sniegowski,"PA, USA",Oak,
b11,B,11,YJM1439,NCYC110,,W. Africa,Ginger beer,aneuploid
c11,C,11,YJM1443,UWOPS83-787.3,,Bahamas,Fruit,Low spore viability
d11,D,11,YJM1444,UWOPS87-2421,,"HI, USA",Cladode,
e11,E,11,YJM1447,UWOPS05-227.2,,Malaysia,Bertam Palm,Low spore viability
f11,F,11,YJM1450,273614N,,"Newcastle, UK",Clinical,
g11,G,11,YJM1460,Y12,,Africa,Palm Wine,
h11,H,11,YJM1463,DBVPG1853,,Ethiopia,White Tecc,
a12,A,12,YJM1477,YJM1468,NRRL Y-581,"MO, USA",Blatz beer,
b12,B,12,YJM1478,YJM1470,NRRL Y-1890,ND,Kefir,
c12,C,12,YJM1479,YJM1474,NRRL Y-6297,Phillipines,Coconut tuba,
d12,D,12,YJM1552,S288c (S1),Isogenic with S288c5,"CA, USA",Rotten fig,
e12,E,12,YJM1552,S288c (S1),Isogenic with S288c5,"CA, USA",Rotten fig,
f12,F,12,BLANK,NA,NA,NA,NA,
g12,G,12,YJM1526,YJM1506,74-29,ND,Clinical (throat),ECM84/SSU1
h12,H,12,YJM1527,YJM1510,05-780,"Winters, CA",Prune,
